거래처,계약일,제품,갱신,계약단가,VAT포함,정산주기,비고,담당자,,,구분,2025년,2026년
나비샘연합의원,2025-06-19,Glandy CAS,2년,"11,818원","13,000원",30일,,류성현,,,새해,,2026-01-01
단국대학교의과대학부속병원,2025-06-01,Glandy CAS,,"12,955원","14,251원",120일,온누리메디케어,이상신,,,설날,,2026-02-16
인하대학교의과대학부속병원,2025-06-01,Glandy CAS,,"14,091원","15,500원",90일,케어캠프,이상신,,,3.1절,,2026-03-01
라파엘병원,2025-07-21,Glandy CAS,1년,"11,818원","13,000원",60일,,류성현,,,어린이날,,2026-05-05
부산백병원,2025-08-14,Glandy CAS,2년,"13,636원","15,000원",,,류성현,,,석가탄실일,,2026-05-24
학교법인 울산공업학원 울산대학교병원,2025-11-01,Glandy CAS,5년,"13,636원","15,000원",30일,300만원 이상은 4개월,류성현,,,현충일,2025-06-06,2026-06-06
김안과병원,2025-09-01,Glandy CAS,1년,"11,818원","13,000원",60일,,이상신,,,광복절,2025-08-15,2026-08-15
대림성모병원,2025-09-11,Glandy CAS,,"13,636원","15,000원",60일,신의료기술평가종료까지,이상신,,,개천절,2025-10-03,
가톨릭대학교 서울성모병원,2025-10-27,Glandy CAS,,"14,545원","16,000원",60일,,이경준,,,추석,2025-10-05,
세브란스병원,2025-09-08,Glandy CAS,,"13,636원","15,000원",30일,병원 시스템 역발행,이정태,,,추석,2025-10-06,
하승우내과,2025-11-20,Glandy CAS,2년,"11,818원","13,000원",60일,,이상신,,,추석 연휴,2025-10-07,
샤일리안과의원,2025-12-04,Glandy EXO,2년,"11,818원","13,000원",60일,,이상신,,,대체공휴일(추석),2025-10-08,
세브란스병원,2025-11-01,Glandy EXO,,"13,636원","15,000원",30일,병원 시스템 역발행,이정태,,,한글날,2025-10-09,
가톨릭대학교 의정부성모병원,2025-12-12,Glandy CAS,2년,"14,545원","16,000원",60일,,이정태,,,크리스마스,2025-12-25,
가톨릭대학교 의정부성모병원,2025-12-12,Glandy EXO,2년,"14,545원","16,000원",60일,,이정태,,,,,
죽전샘편한내과,2025-12-23,Glandy CAS,2년,"11,818원","13,000원",60일,,류성현,,,,,
원광대학교병원,2025-12-29,Glandy CAS,1년,"13,636원","15,000원",60일,만료일 2026.02.28,이정태,,,,,
원광대학교병원,2025-12-29,Glandy EXO,1년,"13,636원","15,000원",60일,만료일 2026.02.28,이정태,,,,,
인천성모병원,2025-01-12,Glandy CAS,2년,"13,636원","15,000원",30일,만료일 2027.06.15,이상신,,,,,